"filename", "language", "vue", "SCSS", "TypeScript", "XML", "CSS", "comment", "blank", "total"
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\App.vue", "vue", 17, 0, 0, 0, 0, 0, 4, 21
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\application.ts", "TypeScript", 0, 0, 512, 0, 0, 72, 31, 615
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\approval.ts", "TypeScript", 0, 0, 100, 0, 0, 14, 11, 125
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\auditLog.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 2, 9
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\auth.ts", "TypeScript", 0, 0, 69, 0, 0, 16, 6, 91
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\channelManage.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 9, 39
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\dept.ts", "TypeScript", 0, 0, 59, 0, 0, 17, 9, 85
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\index.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 2, 13
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\notification.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 3, 26
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\regionManage.ts", "TypeScript", 0, 0, 35, 0, 0, 3, 11, 49
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\systemConfig.ts", "TypeScript", 0, 0, 5, 0, 0, 9, 4, 18
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\transWebService.ts", "TypeScript", 0, 0, 390, 0, 0, 116, 71, 577
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\uiConfig.ts", "TypeScript", 0, 0, 93, 0, 0, 14, 39, 146
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\user.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 5, 53
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\assets\styles\global.scss", "SCSS", 0, 16, 0, 0, 0, 0, 4, 20
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\assets\styles\index.scss", "SCSS", 0, 14, 0, 0, 0, 0, 3, 17
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\assets\styles\mixins.scss", "SCSS", 0, 16, 0, 0, 0, 0, 4, 20
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\assets\styles\variables.scss", "SCSS", 0, 7, 0, 0, 0, 0, 1, 8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\assets\vue.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\auto-imports.d.ts", "TypeScript", 0, 0, 82, 0, 0, 8, 1, 91
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components.d.ts", "TypeScript", 0, 0, 66, 0, 0, 8, 3, 77
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\HelloWorld.vue", "vue", 35, 0, 0, 0, 0, 0, 7, 42
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\CitySelector.scss", "SCSS", 0, 22, 0, 0, 0, 0, 6, 28
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\CitySelector.vue", "vue", 48, 0, 0, 0, 0, 0, 10, 58
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\CloseApplicationModal.vue", "vue", 122, 0, 0, 0, 0, 0, 21, 143
